Marker,quarterly,Online_marketing_services_and_others,qoqr,revenue,gross_margin,marketing_efficiency_ratio,operating_margin,Receivables_from_online_payment_platforms,Cash_and_cash_equivalents,short_term_investments,Net_cash_generated_from_operating_activities
1,q1_2023,27244426,NULL,37637050,70.4406,2.3147,18.4101,693111,19771265,137263553,1338022
2,q2_2023,37932831,39.2300,52280748,64.2511,2.9803,24.3278,1559765,31379326,148129260,23395981
3,q3_2023,39687678,4.6300,68840371,61.0254,3.1653,24.1951,2547134,54939761,147906904,32537857
4,q4_2023,48675618,22.6500,88881036,60.5335,3.3366,25.1966,3914117,59794469,157415365,36890671
5,q1_2024,42456243,-12.7800,86812059,62.3385,3.7082,29.9194,4769048,55591888,186539732,21067179
6,q2_2024,49115866,15.6900,97059531,65.2810,3.7260,33.5511,5491131,56756329,228170850,43792640
7,q3_2024,49351022,0.4800,99354401,60.0328,3.2593,24.4503,4633683,65295431,243166321,27522313
8,q4_2024,57011061,15.5200,110610106,56.7866,3.5275,23.1373,3679309,57768053,273791856,29547160
9,q1_2025,48722171,-14.5400,95672175,57.2006,2.8642,16.8132,5475075,70126217,294374619,15516943
10,q2_2025,55703222,14.3300,103984832,55.8984,3.8216,24.8045,6007506,63222442,323908642,21641656
